2,Ye song nahi hi Ye MODI Ji ka mehnat ka rang hi wo ek din pura world me dikhe ga ye to sirf Turkmenistan. hi hai.. Great MODi ji,3778,23140,../../NewData/narendramodi_comment_07_16_18_22.txt,17535,10155900086255165_10155900108180165
1,Ye to hamare Hindustan ke liye garv ki bat hai. JAY HIND,3847,23423,../../NewData/narendramodi_comment_07_16_18_22.txt,17818,10155900086255165_10155900145775165
2,Love u sir love u soo much urs I'ts beautyful vedio ...,3897,23687,../../NewData/narendramodi_comment_07_16_18_22.txt,18082,10155900086255165_10155900167175165
1,Arae sur jee pahelae hamare bharat ke bachho ka parao.... Firr vedesh may jao yaar,3780,23156,../../NewData/narendramodi_comment_07_16_18_22.txt,17551,10155900086255165_10155900189335165
2,Wah! Jitni sundar geet ke bhao hain utnihi sundar aur sureeli aawaz hai .,3982,24650,../../NewData/narendramodi_comment_07_16_18_22.txt,19045,10155900086255165_10155900194060165
1,Narendra Modi ji ne ekatha ka sanket hai...,3878,23525,../../NewData/narendramodi_comment_07_16_18_22.txt,17920,10155900086255165_10155900212515165
1,I love you india ram yadaw hmare desh wasiy ko namas kar raha hu ram yadaw 5,3863,23470,../../NewData/narendramodi_comment_07_16_18_22.txt,17865,10155900086255165_10155900232445165
2,Sundar ekdam sahi Gaya Hua gana.chhotisi gudiya ko naman,3869,23491,../../NewData/narendramodi_comment_07_16_18_22.txt,17886,10155900086255165_10155900242455165
2,Wao lata mangekar,3979,24632,../../NewData/narendramodi_comment_07_16_18_22.txt,19027,10155900086255165_10155900266590165
2,"Aatma aur mun ki pavitrata ki jhalak hai is beti ki aawaz mei, khush raho beti.",3898,23690,../../NewData/narendramodi_comment_07_16_18_22.txt,18085,10155900086255165_10155900269660165
2,Joy hind joy hindMeri bhatan tuje salamModi ji aapko salam,3828,23350,../../NewData/narendramodi_comment_07_16_18_22.txt,17745,10155900086255165_10155900318100165
2,Kash Modiji Aap Manmohan Singh se phly aa gy hoty....aj 2015 humara Desh kha phuch gya hota,3795,23241,../../NewData/narendramodi_comment_07_16_18_22.txt,17636,10155900086255165_10155900319655165
0,India me student pe atyachaar karra hai result nahi dikhaijara hai aur yaha ye inke aankho me dhul jhokra hai,3844,23411,../../NewData/narendramodi_comment_07_16_18_22.txt,17806,10155900086255165_10155900327805165
1,:o :o :o,3990,24738,../../NewData/narendramodi_comment_07_16_18_22.txt,19133,10155900086255165_10155900377940165
2,Ye song nahi hi Ye MODI Ji ka mehnat ka rang hi wo ek din pura world me dikha denge  ye to sirf Turkmenistan. hi hai.. Great MODi ji .........great,3787,23206,../../NewData/narendramodi_comment_07_16_18_22.txt,17601,10155900086255165_10155900390540165
2,modiji duniya k masiha he...kafi ku6 kiya he or aage bhi karna he....,3874,23511,../../NewData/narendramodi_comment_07_16_18_22.txt,17906,10155900086255165_10155900397240165
2,BaH Guruji Kya style hai apka duniyako hila ke chhore hain.,3854,23445,../../NewData/narendramodi_comment_07_16_18_22.txt,17840,10155900086255165_10155900420195165
2,Awsome...isey kehte hain hindustan ki chaap chodna poore duniya me...,3841,23401,../../NewData/narendramodi_comment_07_16_18_22.txt,17796,10155900086255165_10155900575990165
1,Namaste MAHA MODI ji!!,3884,23565,../../NewData/narendramodi_comment_07_16_18_22.txt,17960,10155900086255165_10155900647485165
2,Modi ji aap ko shat shat naman hai jo aap ne pure universe me apne hindustan ka parcham laharaya......,3804,23285,../../NewData/narendramodi_comment_07_16_18_22.txt,17680,10155900086255165_10155900649425165
1,hindustan zinda baadh..................!!!,3833,23375,../../NewData/narendramodi_comment_07_16_18_22.txt,17770,10155900086255165_10155900725955165
2,V good Modi ji aap lege rahe hum aapke sath he,3813,23321,../../NewData/narendramodi_comment_07_16_18_22.txt,17716,10155900086255165_10155900990590165
2,"fantabulous... We proud of you Modi Ji...Hamare desh ki tasvir bhi sudharti nazar aa rahi h, sablogon me badlao dikh raha h... India ko apke jaisa hi PM chahiye..Bharat ki kuch zamini samsyaye bhi h jaha dhyan dene ki zarurat h...asha h ki jald hi unme bhi sudhar ayega.",3829,23353,../../NewData/narendramodi_comment_07_16_18_22.txt,17748,10155900086255165_10155901100925165
2,Wah sir g ab desh sahi hatho me gya h apko dekh kar aisa hi lagata h,3904,23722,../../NewData/narendramodi_comment_07_16_18_22.txt,18117,10155900086255165_10155901120110165
0,ISI aik kabotr or bej du,3905,23729,../../NewData/narendramodi_comment_07_16_18_22.txt,18124,10155900086255165_10155901962360165
1,its not hindi its urdu and bolywood ager kamyab hai tu Urdu ki waja say,3850,23433,../../NewData/narendramodi_comment_07_16_18_22.txt,17828,10155900086255165_10155902100425165
0,"Narendra Modi Yeh kya bakchodi pel rahe ho facebook pe, kaam karlo plz!",3797,23246,../../NewData/narendramodi_comment_07_16_18_22.txt,17641,10155900086255165_10155902158585165
1,Kash ye sab bangladesh aur pakistan b gate toh kitna acha hota,3911,23790,../../NewData/narendramodi_comment_07_16_18_22.txt,18185,10155900086255165_10155902346455165
1,wah wah Turkes,3939,24164,../../NewData/narendramodi_comment_07_16_18_22.txt,18559,10155900086255165_10155902355830165
1,Bahut acha....maza aa gaya....bahut surili awaaz hai......barosa nahi hota humari matrbasha ko dusri countries k logh itna pyar aur sammaan dette hai.....I love my india. I love my culture. I love my religion. I love my language.  I love my mother.,3857,23454,../../NewData/narendramodi_comment_07_16_18_22.txt,17849,10155900086255165_10155902523905165
1,beautifull voice .proud to b indian bharat mata ki jai,3997,24834,../../NewData/narendramodi_comment_07_16_18_22.txt,19229,10155900086255165_10155902704895165
2,masha allah good....yeh hain meri hindi,3852,23438,../../NewData/narendramodi_comment_07_16_18_22.txt,17833,10155900086255165_10155904566045165
2,"Wah wah maja aa gya !! Indian Govt. should host an International Hindi song compitition !! Tarrakki bahut ho gayi ab thoda entertainment ho jai, 'Kyo bhayio aur behno' ???",3803,23281,../../NewData/narendramodi_comment_07_16_18_22.txt,17676,10155900086255165_10155906942935165
2,Dil se namaskar sasriya kal ram ram jai shri ram,3662,22338,../../NewData/narendramodi_comment_07_16_18_22.txt,16733,10155900094865165_10155900115820165
0,Mujhe gussa un saale hinduo par aata hai jo nasmjhi me modi ji ka virodh karte hain ..,3619,22217,../../NewData/narendramodi_comment_07_16_18_22.txt,16612,10155900094865165_10155900129180165
0,"Mann ka vishwas kamjor jo na,hum chale neak raste pe humse,bhul kr bhi koi bhul ho na... :) :)",3650,22281,../../NewData/narendramodi_comment_07_16_18_22.txt,16676,10155900094865165_10155900136580165
2,bharat ko vishwa guru banne se koi nahi rok sakta......vande matram,3587,22153,../../NewData/narendramodi_comment_07_16_18_22.txt,16548,10155900094865165_10155900146555165
2,Sir  yeh tho sirf aap hi kar sakte hai. Great sir,3721,22671,../../NewData/narendramodi_comment_07_16_18_22.txt,17066,10155900094865165_10155900148415165
